instance_name,graph_type,size_n,algorithm,run_id,time_seconds,cost,path_found,ops_count,memory_peak_kb
trap_n14,pathological,14,Backtracking,1,0.000115,1400.0,1,105,55.81
trap_n14,pathological,14,Backtracking,2,0.000053,1400.0,1,105,56.10
trap_n14,pathological,14,Backtracking,3,0.000033,1400.0,1,105,56.39
trap_n14,pathological,14,Backtracking,4,0.000029,1400.0,1,105,56.69
trap_n14,pathological,14,Backtracking,5,0.000027,1400.0,1,105,56.96
trap_n14,pathological,14,DP,1,0.103963,1400.0,1,745472,57.30
trap_n14,pathological,14,DP,2,0.104746,1400.0,1,745472,57.57
trap_n14,pathological,14,DP,3,0.103240,1400.0,1,745472,57.84
trap_n14,pathological,14,DP,4,0.102812,1400.0,1,745472,58.12
trap_n14,pathological,14,DP,5,0.102782,1400.0,1,745472,58.51
trap_n14,pathological,14,NearestNeighbor,1,0.000029,-1,0,9,58.48
trap_n14,pathological,14,NearestNeighbor,2,0.000022,-1,0,9,58.72
trap_n14,pathological,14,NearestNeighbor,3,0.000021,-1,0,9,58.99
trap_n14,pathological,14,NearestNeighbor,4,0.000022,-1,0,9,59.27
trap_n14,pathological,14,NearestNeighbor,5,0.000020,-1,0,9,59.51
trap_n10,pathological,10,Backtracking,1,0.000037,1000.0,1,55,58.90
trap_n10,pathological,10,Backtracking,2,0.000023,1000.0,1,55,59.17
trap_n10,pathological,10,Backtracking,3,0.000023,1000.0,1,55,59.69
trap_n10,pathological,10,Backtracking,4,0.000022,1000.0,1,55,59.93
trap_n10,pathological,10,Backtracking,5,0.000022,1000.0,1,55,60.17
trap_n10,pathological,10,DP,1,0.003630,1000.0,1,23040,60.41
trap_n10,pathological,10,DP,2,0.003653,1000.0,1,23040,60.68
trap_n10,pathological,10,DP,3,0.003639,1000.0,1,23040,60.96
trap_n10,pathological,10,DP,4,0.003611,1000.0,1,23040,61.23
trap_n10,pathological,10,DP,5,0.003583,1000.0,1,23040,61.50
trap_n10,pathological,10,NearestNeighbor,1,0.000023,-1,0,7,61.47
trap_n10,pathological,10,NearestNeighbor,2,0.000020,-1,0,7,61.71
trap_n10,pathological,10,NearestNeighbor,3,0.000021,-1,0,7,61.95
trap_n10,pathological,10,NearestNeighbor,4,0.000020,-1,0,7,62.19
trap_n10,pathological,10,NearestNeighbor,5,0.000020,-1,0,7,62.43
trap_n18,pathological,18,Backtracking,1,0.000047,1800.0,1,171,70.70
trap_n18,pathological,18,Backtracking,2,0.000035,1800.0,1,171,70.97
trap_n18,pathological,18,Backtracking,3,0.000036,1800.0,1,171,71.24
trap_n18,pathological,18,Backtracking,4,0.000035,1800.0,1,171,72.01
trap_n18,pathological,18,Backtracking,5,0.000035,1800.0,1,171,72.25
trap_n18,pathological,18,DP,1,2.672061,1800.0,1,20054016,72.49
trap_n18,pathological,18,DP,2,2.701101,1800.0,1,20054016,72.77
trap_n18,pathological,18,DP,3,2.688647,1800.0,1,20054016,73.04
trap_n18,pathological,18,DP,4,2.683949,1800.0,1,20054016,73.31
trap_n18,pathological,18,DP,5,2.682486,1800.0,1,20054016,73.58
trap_n18,pathological,18,NearestNeighbor,1,0.000053,-1,0,11,73.30
trap_n18,pathological,18,NearestNeighbor,2,0.000032,-1,0,11,73.54
trap_n18,pathological,18,NearestNeighbor,3,0.000030,-1,0,11,73.81
trap_n18,pathological,18,NearestNeighbor,4,0.000030,-1,0,11,74.09
trap_n18,pathological,18,NearestNeighbor,5,0.000029,-1,0,11,74.33
bipartite_no_hc_5_6,pathological,11,Backtracking,1,0.035665,-1,0,433301,67.73
bipartite_no_hc_5_6,pathological,11,Backtracking,2,0.035635,-1,0,433301,68.00
bipartite_no_hc_5_6,pathological,11,Backtracking,3,0.035661,-1,0,433301,68.27
bipartite_no_hc_5_6,pathological,11,Backtracking,4,0.035635,-1,0,433301,68.54
bipartite_no_hc_5_6,pathological,11,Backtracking,5,0.035585,-1,0,433301,68.78
bipartite_no_hc_5_6,pathological,11,DP,1,0.008666,-1,0,56320,69.06
bipartite_no_hc_5_6,pathological,11,DP,2,0.008599,-1,0,56320,69.33
bipartite_no_hc_5_6,pathological,11,DP,3,0.008556,-1,0,56320,69.60
bipartite_no_hc_5_6,pathological,11,DP,4,0.008590,-1,0,56320,69.87
bipartite_no_hc_5_6,pathological,11,DP,5,0.008590,-1,0,56320,70.15
bipartite_no_hc_5_6,pathological,11,NearestNeighbor,1,0.000032,-1,0,9,70.39
bipartite_no_hc_5_6,pathological,11,NearestNeighbor,2,0.000026,-1,0,9,70.63
bipartite_no_hc_5_6,pathological,11,NearestNeighbor,3,0.000026,-1,0,9,70.90
bipartite_no_hc_5_6,pathological,11,NearestNeighbor,4,0.000026,-1,0,9,71.14
bipartite_no_hc_5_6,pathological,11,NearestNeighbor,5,0.000026,-1,0,9,71.38
cycle_n15,pathological,15,Backtracking,1,0.000048,15.0,1,120,73.18
cycle_n15,pathological,15,Backtracking,2,0.000034,15.0,1,120,73.45
